Transaction Date,Post Date,Description,Category,Type,Amount
11/01/2019,11/01/2019,Rebtel,Bills & Utilities,Sale,-20.00
10/29/2019,11/01/2019,Rebtel,Bills & Utilities,Sale,-20.00
10/29/2019,10/31/2019,TACO TIME REDMOND,Food & Drink,Sale,-7.69
10/30/2019,10/31/2019,PANERA BREAD #202250 K,Food & Drink,Sale,-12.40
10/30/2019,10/31/2019,AMZN Mktp US*TJ3Y259A3,Shopping,Sale,-26.64
10/29/2019,10/30/2019,DRUG POLICY ALLIANCE,Gifts & Donations,Sale,-35.70
10/29/2019,10/30/2019,PARCEL PENDING,Personal,Sale,-20.00
10/29/2019,10/30/2019,AMZN Mktp US*UO2I62T73,Shopping,Sale,-16.49
10/30/2019,10/30/2019,AMZN Mktp US*7Q7L46B03,Shopping,Sale,-9.89
10/27/2019,10/29/2019,SHARETEA REDMOND,Food & Drink,Sale,-5.87
10/28/2019,10/29/2019,PANERA BREAD #202250 K,Food & Drink,Sale,-15.91
10/28/2019,10/29/2019,TRADER JOE'S #140  QPS,Groceries,Sale,-9.58
10/27/2019,10/29/2019,SALSA N SEATTLE DANCE,Health & Wellness,Sale,-40.00
10/27/2019,10/29/2019,QFC 5820,Groceries,Sale,-24.65
10/27/2019,10/29/2019,Rebtel,Bills & Utilities,Sale,-10.00
10/27/2019,10/28/2019,WM SUPERCENTER #3098,Groceries,Sale,-70.63
10/27/2019,10/28/2019,COSTCO GAS #1225,Gas,Sale,-44.16
10/26/2019,10/28/2019,POMEGRANATE BISTRO,Food & Drink,Sale,-53.76
10/26/2019,10/28/2019,THE HOME DEPOT 4723,Home,Sale,-5.21
10/27/2019,10/28/2019,SQ *SOMOS EL SON DANCE OR,Gifts & Donations,Sale,-2.10
10/27/2019,10/28/2019,DOLLARTREE,Shopping,Sale,-41.89
10/26/2019,10/27/2019,QFC 5820,Groceries,Sale,-4.00
10/26/2019,10/27/2019,COSTCO WHSE #1225,Shopping,Sale,-168.55
10/25/2019,10/27/2019,THE HOME DEPOT 4723,Home,Sale,-4.86
10/25/2019,10/27/2019,FIVE GUYS WA 1837 QSR,Food & Drink,Sale,-18.01
10/24/2019,10/27/2019,LA QUEMADA TIENDA,Food & Drink,Sale,-22.77
10/26/2019,10/27/2019,ACTBLUE*PETE.BUTTIGIEG,Gifts & Donations,Sale,-25.00
10/23/2019,10/25/2019,THE HOME DEPOT 4723,Home,Sale,-5.27
10/25/2019,10/25/2019,AMZN Mktp US*4B8FO1343,Shopping,Sale,-25.29
10/24/2019,10/25/2019,QFC 5820,Groceries,Sale,-39.91
10/23/2019,10/25/2019,QFC 5820,Groceries,Sale,-33.03
