Transaction Date,Post Date,Description,Category,Type,Amount
09/26/2019,09/27/2019,PANERA BREAD #202250 K,Food & Drink,Sale,-17.45
09/26/2019,09/27/2019,AMZN Mktp US*LG7Q86F73,Shopping,Sale,-53.84
09/24/2019,09/26/2019,FIVE GUYS WA 1837 QSR,Food & Drink,Sale,-17.57
09/24/2019,09/25/2019,IPM FGI CP,Travel,Sale,-16.00
09/22/2019,09/24/2019,THE HOME DEPOT 4723,Home,Sale,-3.28
09/24/2019,09/24/2019,Rebtel,Bills & Utilities,Sale,-20.00
09/23/2019,09/24/2019,PANERA BREAD #202250 K,Food & Drink,Sale,-13.38
09/22/2019,09/24/2019,TAQUERIA EL RINCONSITO BE,Food & Drink,Sale,-31.09
09/23/2019,09/24/2019,QFC 5820,Groceries,Sale,-14.27
09/23/2019,09/24/2019,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-197.20
09/21/2019,09/23/2019,CHICK-FIL-A #03801,Food & Drink,Sale,-31.47
09/22/2019,09/23/2019,CROSSROADS BARBER SHOP,Personal,Sale,-24.00
09/22/2019,09/23/2019,COSTCO GAS #1225,Gas,Sale,-33.42
09/22/2019,09/23/2019,TARGET        00009951,Shopping,Sale,-24.73
09/23/2019,09/23/2019,AMZN Mktp US*704ZC2XR3,Shopping,Sale,-9.89
09/20/2019,09/22/2019,AGAVE COCINA  CANTINA,Food & Drink,Sale,-42.85
09/20/2019,09/22/2019,XTADIUM LOUNGE,Food & Drink,Sale,-15.21
09/20/2019,09/22/2019,IPM FGI CP,Travel,Sale,-16.00
09/22/2019,09/22/2019,OVER THE RAINBOW,Food & Drink,Sale,-6.49
09/20/2019,09/22/2019,PANERA BREAD #202250 K,Food & Drink,Sale,-8.45
09/19/2019,09/22/2019,QFC 5820,Groceries,Sale,-5.49
09/18/2019,09/19/2019,AMZN Mktp US*T51ZD94X3,Shopping,Sale,-21.98
09/18/2019,09/19/2019,CONSUMERREPORTS.ORG,Bills & Utilities,Sale,-8.75
09/17/2019,09/18/2019,IPM FGI CP,Travel,Sale,-16.00
09/16/2019,09/18/2019,QFC 5820,Groceries,Sale,-6.48
09/17/2019,09/18/2019,AMZN Mktp US*VH2KI5O83,Shopping,Sale,-19.02
09/14/2019,09/17/2019,DELTA AIR   0062388382664,Travel,Sale,-233.20
09/14/2019,09/17/2019,DELTA AIR   0062388382663,Travel,Sale,-233.20
