Transaction Date,Post Date,Description,Category,Type,Amount
04/10/2019,04/12/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.79
04/10/2019,04/12/2019,7-ELEVEN 14402,Gas,Sale,-10.27
04/09/2019,04/11/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.79
04/09/2019,04/11/2019,SAFEWAY #0464,Groceries,Sale,-5.49
04/09/2019,04/11/2019,ROSS STORES #1424,Shopping,Sale,-60.46
04/08/2019,04/10/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.79
04/09/2019,04/10/2019,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-11.99
04/07/2019,04/09/2019,STARBUCKS STORE 47207,Food & Drink,Sale,-7.92
04/08/2019,04/09/2019,LE GRAND BISTRO,Food & Drink,Sale,-106.35
04/07/2019,04/09/2019,REGAL CINEMAS BELLA BOTEG,Entertainment,Sale,-25.92
04/07/2019,04/08/2019,SQ *BEN &amp; JERRY'S,Food & Drink,Sale,-9.03
04/06/2019,04/08/2019,CHICK-FIL-A #03299,Food & Drink,Sale,-26.66
04/07/2019,04/08/2019,CROSSROADS BARBER SHOP,Personal,Sale,-24.00
04/07/2019,04/08/2019,7-ELEVEN 14402,Gas,Sale,-5.98
04/05/2019,04/07/2019,24 Hour Fitness USA  I,Health & Wellness,Sale,-45.98
04/05/2019,04/07/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.79
04/05/2019,04/07/2019,MAILBOX SHIPPING CENTER,Personal,Sale,-10.45
04/04/2019,04/07/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.79
04/05/2019,04/07/2019,QFC 5820,Groceries,Sale,-13.31
04/06/2019,04/07/2019,COSTCO GAS #0008,Gas,Sale,-47.47
04/03/2019,04/05/2019,CHICK-FIL-A #03299,Food & Drink,Sale,-22.20
04/03/2019,04/05/2019,911 DRIVNG SCH. LAKE WASH,Education,Sale,-29.95
04/03/2019,04/05/2019,IKEA SEATTLE,Home,Sale,-23.09
04/03/2019,04/05/2019,IKEA SEATTLE,Home,Return,13.20
04/04/2019,04/04/2019,INTUIT *TURBOTAX,Shopping,Sale,-241.98
04/02/2019,04/04/2019,MS CAFE 50    19097476,Food & Drink,Sale,-9.02
04/03/2019,04/04/2019,COSTCO WHSE #1225,Shopping,Return,21.99
04/03/2019,04/04/2019,TARGET        00009951,Shopping,Sale,-3.73
04/03/2019,04/04/2019,WA DOL LIC &amp; REG 56215,Bills & Utilities,Sale,-27.25
04/03/2019,04/04/2019,TARGET        00009951,Shopping,Return,23.74
04/03/2019,04/04/2019,IKEA SEATTLE,Food & Drink,Sale,-4.25
04/03/2019,04/04/2019,PUGET SOUND ENERGY,Bills & Utilities,Sale,-31.80
02/22/2019,04/03/2019,REBILL AMERICAN AIR001233,Travel,Sale,-577.63
04/02/2019,04/03/2019,TARGET        00009951,Shopping,Sale,-23.74
04/02/2019,04/03/2019,JAK'S GRILL ISSAQUAH,Food & Drink,Sale,-115.42
04/03/2019,04/03/2019,WAVE,Bills & Utilities,Sale,-76.17
04/02/2019,04/03/2019,WAL-MART #3098,Groceries,Sale,-14.96
04/01/2019,04/03/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.79
04/02/2019,04/03/2019,Rebtel,Bills & Utilities,Sale,-10.00
03/31/2019,04/02/2019,RPNW SEATTLE WATERFRONT P,Travel,Sale,-12.00
04/01/2019,04/02/2019,TARGET        00009951,Shopping,Sale,-93.90
04/01/2019,04/02/2019,TST* HOMEGROWN 1007,Food & Drink,Sale,-29.87
03/29/2019,04/01/2019,GYRO TO GO,Food & Drink,Sale,-15.19
03/30/2019,04/01/2019,RPNW SEATTLE UNIVERSITY C,Travel,Sale,-8.00
03/31/2019,04/01/2019,ACMETec*SeaAqua,Gifts & Donations,Sale,-22.00
03/31/2019,04/01/2019,VILLAGE STREET CAFE,Food & Drink,Sale,-64.21
03/31/2019,04/01/2019,DOLLARTREE,Shopping,Sale,-5.55
03/31/2019,04/01/2019,SQ *JJFROYOGO,Food & Drink,Sale,-7.50
03/31/2019,04/01/2019,QFC 5820,Groceries,Sale,-47.11
03/29/2019,03/31/2019,ARCO#83650M E K CORP,Gas,Sale,-13.16
03/29/2019,03/31/2019,ENTERPRISE RENT-A-CAR,Travel,Sale,-16.99
03/29/2019,03/31/2019,QFC 5820,Groceries,Sale,-1.86
03/30/2019,03/31/2019,Payment Thank You - Web,,Payment,3849.10
03/30/2019,03/31/2019,BULLDOG NEWS,Shopping,Sale,-8.50
03/29/2019,03/31/2019,AN VOLVO CARS BELLEVUE,Bills & Utilities,Sale,-27.50
03/29/2019,03/31/2019,24 HOUR FITNESS #492,Health & Wellness,Sale,-50.66
03/27/2019,03/29/2019,MS CAFE 50    19097476,Food & Drink,Sale,-7.87
03/28/2019,03/29/2019,HLU*Hulu 1230741727402-U,Bills & Utilities,Sale,-13.17
03/28/2019,03/29/2019,BARTELL DRUG 52-RDMND TC,Health & Wellness,Sale,-8.79
03/26/2019,03/28/2019,MS CAFE 50    19097476,Food & Drink,Sale,-9.02
03/27/2019,03/28/2019,SQ *NWBESTCPR.COM,Professional Services,Sale,-86.90
03/26/2019,03/27/2019,COSTCO WHSE #1225,Shopping,Return,21.99
03/25/2019,03/27/2019,CHICK-FIL-A #03299,Food & Drink,Sale,-27.75
03/26/2019,03/27/2019,COSTCO GAS #1225,Gas,Sale,-36.80
03/26/2019,03/27/2019,COSTCO WHSE #1225,Shopping,Sale,-203.61
03/25/2019,03/26/2019,AMZ*The Seattle Time,Entertainment,Sale,-15.96
03/23/2019,03/26/2019,AMPCO - SECOND &amp; JAMES GA,Travel,Sale,-12.00
03/24/2019,03/26/2019,TUTTA BELLA NEAPOLITAN PI,Food & Drink,Sale,-40.00
03/24/2019,03/25/2019,VENMO,Personal,Sale,-45.32
03/23/2019,03/25/2019,WSFERRIES-COLMAN DOCK,Travel,Sale,-17.00
03/24/2019,03/25/2019,WAL-MART #3098,Groceries,Sale,-1.85
03/24/2019,03/25/2019,WAL-MART #3098,Groceries,Sale,-38.14
03/25/2019,03/25/2019,KATSU BURGER &amp; BAR,Food & Drink,Sale,-6.27
03/24/2019,03/25/2019,TANOOR LEBANESE GRILL,Food & Drink,Sale,-89.56
03/22/2019,03/25/2019,GYRO TO GO,Food & Drink,Sale,-15.19
03/23/2019,03/24/2019,SQ *COQUETTE BAKE SHOP &amp;,Groceries,Sale,-9.60
03/23/2019,03/24/2019,SQ *TAT'S DELICATESSEN IN,Food & Drink,Sale,-34.19
03/22/2019,03/24/2019,OLD NAVY US 5655,Shopping,Sale,-37.92
03/23/2019,03/24/2019,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-182.33
03/21/2019,03/24/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.79
03/22/2019,03/24/2019,IN *MALT &amp; VINE,Food & Drink,Sale,-6.50
03/22/2019,03/24/2019,ROSS STORES #1424,Shopping,Sale,-59.35
03/20/2019,03/22/2019,QFC 5820,Groceries,Sale,-7.56
03/20/2019,03/22/2019,QFC 5860,Groceries,Sale,-2.74
03/21/2019,03/22/2019,MOD PIZZA REDMOND 8 BM,Food & Drink,Sale,-24.03
03/20/2019,03/22/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.79
03/22/2019,03/22/2019,Rebtel,Bills & Utilities,Sale,-5.00
03/22/2019,03/22/2019,Rebtel,Bills & Utilities,Sale,-20.00
03/20/2019,03/22/2019,QFC 5820,Groceries,Sale,-29.66
03/20/2019,03/21/2019,BELLEVUE COLLEGE CONT ED,Education,Sale,-85.00
03/19/2019,03/20/2019,OTO SUSHI REDMOND,Food & Drink,Sale,-27.54
03/19/2019,03/20/2019,DOLLARTREE,Shopping,Sale,-12.15
03/18/2019,03/20/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.79
03/19/2019,03/20/2019,QFC 5820,Groceries,Sale,-11.59
03/19/2019,03/20/2019,GROUPON INC,Personal,Sale,-40.00
03/17/2019,03/19/2019,LE PANIER,Food & Drink,Sale,-17.51
03/18/2019,03/19/2019,U-PARK SYSTEM 041,Travel,Sale,-24.52
03/17/2019,03/19/2019,MATADOR REDMOND,Food & Drink,Sale,-60.25
03/17/2019,03/19/2019,D2 AT BENAROYA,Food & Drink,Sale,-34.28
03/17/2019,03/19/2019,LOLA RESTAURANT,Food & Drink,Sale,-63.08
03/17/2019,03/19/2019,SPACE NEEDLE TICKETS,Entertainment,Sale,-57.76
03/15/2019,03/18/2019,GYRO TO GO,Food & Drink,Sale,-15.00
03/17/2019,03/18/2019,UBER   *TRIP,Travel,Sale,-8.60
03/16/2019,03/18/2019,CHICK-FIL-A #03299,Food & Drink,Sale,-28.63
03/17/2019,03/18/2019,UBER   *TRIP SSWZO,Travel,Sale,-2.00
03/17/2019,03/18/2019,COSTCO GAS #0008,Gas,Sale,-39.30
03/15/2019,03/17/2019,QFC 5820,Groceries,Sale,-5.48
03/16/2019,03/17/2019,ALDO US # 2084,Shopping,Sale,-88.00
03/16/2019,03/17/2019,SQ *BEN &amp; JERRY'S,Food & Drink,Sale,-11.44
03/14/2019,03/17/2019,QFC 5820,Groceries,Sale,-16.61
03/15/2019,03/17/2019,TST* BEECHER S,Food & Drink,Sale,-5.40
03/17/2019,03/17/2019,HONOR COFFEE,Food & Drink,Sale,-5.75
03/16/2019,03/17/2019,SEATTLE GREAT WHEEL,Entertainment,Sale,-32.23
03/15/2019,03/17/2019,TST* BEECHER S,Food & Drink,Sale,-12.59
03/13/2019,03/15/2019,PAYLESS SHOESO00031419,Shopping,Sale,-57.72
03/14/2019,03/15/2019,TST* TIPSY COW BURGER BAR,Food & Drink,Sale,-17.40
03/13/2019,03/15/2019,MS CAFE 50    19097476,Food & Drink,Sale,-4.05
03/13/2019,03/15/2019,MS CAFE 50    19097476,Food & Drink,Sale,-4.05
03/13/2019,03/15/2019,MS CAFE 50    19097476,Food & Drink,Sale,-3.47
03/12/2019,03/14/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.20
03/13/2019,03/14/2019,BOBA T,Food & Drink,Sale,-6.39
03/13/2019,03/14/2019,WAL-MART #5939,Shopping,Sale,-31.37
03/13/2019,03/14/2019,OLD NAVY US 6047,Shopping,Sale,-11.52
03/13/2019,03/14/2019,TARGET        00003392,Shopping,Sale,-4.95
03/13/2019,03/14/2019,PANERA BREAD #202261,Food & Drink,Sale,-7.25
03/11/2019,03/13/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.79
03/09/2019,03/12/2019,GARLIC CRUSH,Food & Drink,Sale,-29.39
